repo,path,number_of_headings,language,cve_count
Scout064/DDB-Stats-Loader,SECURITY.md,3,EN,0
oracle/macest,SECURITY.md,3,EN,0
oracle/pushiomanager-cordova-plugin,SECURITY.md,3,EN,0
cheeriojs/cheerio,SECURITY.md,3,EN,0
SupSpace-Coding-Team/SpaceUtilities,SECURITY.md,3,EN,0
UKKWariors/Website-Pengaduan-Masyarakat-Remake,SECURITY.md,3,EN,0
AaryaTiwari1211/KeywordExtractionTool,SECURITY.md,3,EN,0
asyncedd/dots.nvim,SECURITY.md,3,EN,0
nelsonCastellanos/ArtWalkBackEnd,SECURITY.md,3,EN,0
jillmnolan/linkedin-clone,SECURITY.md,3,EN,0
Skillt2022/evaluaciones,SECURITY.md,3,EN,0
pietro1704/landingPageConsultoriaHelen,SECURITY.md,3,EN,0
Metwally-Sayed/Linnric,SECURITY.md,3,EN,0
webparham-afk/Arabijat,SECURITY.md,3,EN,0
oracle/weblogic-kubernetes-operator,SECURITY.md,3,EN,0
oracle/zfssa-csi-driver,SECURITY.md,3,EN,0
alstjq8251/Cs-tech,%EA%B0%9C%EB%85%90/spring/Spring%20Security.md,8,KO,0
jimmy254-prog/indian_cuisine,SECURITY.md,3,EN,0
usamakhankhattakk/my-website,SECURITY.md,3,EN,0
Drapkoto/mega,SECURITY.md,3,EN,0
lnq7x201/f8-tiktok,SECURITY.md,3,EN,0
nextauthjs/.github,SECURITY.md,3,EN,0
suhailthakrani/suit_up,SECURITY.md,3,EN,0
rahulrouniyar1/manojsoundsystem,SECURITY.md,3,EN,0
hldblc/ProjectSurvival001a,SECURITY.md,3,EN,0
Inochi2D/inochi2d,SECURITY.md,3,EN,0
Nasz-Elektryk/basedbook-backend,SECURITY.md,1,EN,0
InfoSecWarrior/Frequently-Asked-Questions,Information-Security-Cyber-Security.md,19,EN,0
Bean-Tools/blender-release-list,SECURITY.md,3,EN,0
systemadminroot/Port_Scanner,SECURITY.md,3,EN,0
World-Charity-Tour/camsol-components,SECURITY.md,5,EN,0
AbidHasanSajid/AboutPage-V5.0,SECURITY.md,3,EN,0
aptible/terraform-provider-aptible,SECURITY.md,3,EN,0
Just1z/asyncgpt,.github/SECURITY.md,2,EN,0
jillmnolan/css-node-module,SECURITY.md,3,EN,0
jackdelaguilavilla03/craftzdogVim,SECURITY.md,3,EN,0
crossid/repos-metadata,common/SECURITY.md,1,EN,0
microsoft/OpenAI-Hack-Group-5-Humanitarian,SECURITY.md,4,EN,0
aptible/captain-comeback-sweetness-adapter,SECURITY.md,3,EN,0
oracle/microservices-datadriven,SECURITY.md,3,EN,0
Protonm0KEN/react-weather,SECURITY.md,3,EN,0
mraible/21-points-v7,SECURITY.md,3,EN,0
NervousGroove/SpellSide,SECURITY.md,1,EN,0
akpanjoe/Hashbarium,SECURITY.md,3,EN,0
py-package/masonite-commerce,SECURITY.md,3,EN,0
hanwenlei/cultureCenter,SECURITY.md,3,EN,0
aptible/aptstract,SECURITY.md,3,EN,0
ayyanar7/2023,SECURITY.md,3,EN,0
guilherm97/projeto_acessibilidade,SECURITY.md,3,EN,0
MAKASII/Try_On_Model,SECURITY.md,3,EN,0
fabianroy/Super-Calculator-2.0,SECURITY.md,3,EN,0
DreadedKane/TheSeersChoice,SECURITY.md,4,EN,0
TimurPythonDev/DjangoReact2,SECURITY.md,3,EN,0
kellyRaines05/ASU-Coursework-Website,bootstrap/SECURITY.md,1,EN,0
taedonn/taedonn,SECURITY.md,3,EN,0
pinaakirepo/test-project,SECURITY.md,3,EN,0
themuuln/nextjs-dice,SECURITY.md,3,EN,0
Sigmale1000/RMGenerator,SECURITY.md,7,EN,0
divyanshmathur004/divnew-website,SECURITY.md,3,EN,0
nori-dot-eco/contracts,SECURITY.md,1,EN,0
stream-payments/streampay-admin,SECURITY.md,3,EN,0
statisticsnorway/microdata-job-db,SECURITY.md,2,EN,0
DivergentCodes/cronbox,SECURITY.md,2,EN,0
zyf315/physics,SECURITY.md,3,EN,0
KRoperUK/voting-app,SECURITY.md,2,EN,0
QuasarApp/CQtDeployer,SECURITY.md,3,EN,0
sylvsterbelonio/G12Project,SECURITY.md,3,EN,0
jillmnolan/Web-Development-Essentials-Pack,SECURITY.md,3,EN,0
urobot2011/SaveMartin,SECURITY.md,3,EN,0
aptible/www,SECURITY.md,3,EN,0
